
B=0.0726, Tau=3407.645686579732, nu=0.00028660909271261987, avg_time=3425.86
B=0.0605, Tau=23989.133139901685, nu=4.629356290672905e-05, avg_time=23158.26
B=0.0519, Tau=102377.96818660351, nu=8.34655186045157e-06, avg_time=116068.91
B=0.0425, Tau=1800007.3216659331, nu=8.101484119017874e-07, avg_time=1447262.75
B=0.0475, Tau=406649.5657852903, nu=3.3773787416476163e-06, avg_time=343925.64
B=0.0525, Tau=104400.62663392985, nu=9.242294386901026e-06, avg_time=104909.89
B=0.0575, Tau=34305.84537729866, nu=2.9811951415792378e-05, avg_time=37268.26
B=0.0625, Tau=12842.871253993553, nu=6.796766443254888e-05, avg_time=14266.13
B=0.0675, Tau=6066.532646938092, nu=0.0001938172955635486, avg_time=5678.11
B=0.0725, Tau=3684.643134430413, nu=0.00025366316778044655, avg_time=3862.47
B=0.0776, Tau=1957.7371704863235, nu=0.0005201595317128986, avg_time=2104.45
B=0.0826, Tau=1348.919863231181, nu=0.0008459859442449205, avg_time=1322.61
B=0.0876, Tau=702.5924849129252, nu=0.0015827083737892877, avg_time=756.85
B=0.0926, Tau=526.5836899244716, nu=0.002654902096263495, avg_time=456.5
B=0.0976, Tau=434.251207307578, nu=0.0038326744422449485, avg_time=354.22
B=0.1026, Tau=246.70085199201276, nu=0.005370226143736257, avg_time=234.59
B=0.1076, Tau=223.61773133778934, nu=0.008143802815787426, avg_time=185.24
B=0.1126, Tau=163.02453962045288, nu=0.013273371569327235, avg_time=136.0
B=0.1176, Tau=115.41560327111708, nu=0.014177694901104793, avg_time=105.07
B=0.1226, Tau=113.97290823022811, nu=0.01591040121370204, avg_time=101.33
B=0.1276, Tau=93.77517765778262, nu=0.02511320907657641, avg_time=79.54
B=0.1326, Tau=83.67631237155987, nu=0.028477442818873253, avg_time=67.27
B=0.1376, Tau=88.00439749422677, nu=0.03558741737287512, avg_time=64.61
B=0.1427, Tau=77.90553220800403, nu=0.0461154289987579, avg_time=57.98
B=0.1477, Tau=69.24936196267025, nu=0.06109929752580772, avg_time=48.77
B=0.1527, Tau=60.59319171733647, nu=0.05062711315926589, avg_time=46.65
B=0.1577, Tau=51.937021472002684, nu=0.06844229956653286, avg_time=40.91
B=0.1627, Tau=51.937021472002684, nu=0.08421944298660013, avg_time=38.32
B=0.1677, Tau=46.16624130844683, nu=0.11692698883225233, avg_time=33.77
B=0.1727, Tau=43.2808512266689, nu=0.10637534928908568, avg_time=30.5
B=0.1777, Tau=40.39546114489098, nu=0.12868553110281017, avg_time=29.68
B=0.1827, Tau=37.51007106311305, nu=0.13357710230960917, avg_time=27.14
B=0.1877, Tau=36.06737602222409, nu=0.13897033950259563, avg_time=25.92
B=0.1927, Tau=31.739290899557197, nu=0.13251956765567746, avg_time=23.99
B=0.1977, Tau=28.85390081777927, nu=0.17637305310147092, avg_time=22.06
B=0.2028, Tau=28.85390081777927, nu=0.23536327407671226, avg_time=20.5
B=0.2078, Tau=28.85390081777927, nu=0.21778903140670183, avg_time=20.24
B=0.2128, Tau=27.411205776890306, nu=0.20600728731113355, avg_time=19.08
B=0.2178, Tau=25.968510736001342, nu=0.21871811047988057, avg_time=18.44
B=0.2228, Tau=24.525815695112378, nu=0.20429861136252822, avg_time=17.45
B=0.2278, Tau=23.083120654223414, nu=0.28171352004141736, avg_time=16.63
B=0.2328, Tau=21.64042561333445, nu=0.2365831923781368, avg_time=15.79
B=0.2378, Tau=21.64042561333445, nu=0.31194675180686077, avg_time=15.37
B=0.2428, Tau=20.19773057244549, nu=0.32260102070508545, avg_time=14.18
B=0.2478, Tau=18.755035531556526, nu=0.3902043033759306, avg_time=13.92
B=0.2528, Tau=18.755035531556526, nu=0.39310673545861724, avg_time=13.43
B=0.2578, Tau=17.312340490667562, nu=0.42346939090852176, avg_time=12.68
B=0.2628, Tau=17.312340490667562, nu=0.46252527025991963, avg_time=12.53
B=0.2679, Tau=17.312340490667562, nu=0.3923955678756073, avg_time=12.17
B=0.2729, Tau=15.869645449778599, nu=0.47097341862827174, avg_time=11.49
B=0.2779, Tau=15.869645449778599, nu=0.4654774017140412, avg_time=11.25
B=0.2829, Tau=15.869645449778599, nu=0.5253332394371442, avg_time=11.37
B=0.2879, Tau=14.426950408889635, nu=0.5525453451870732, avg_time=10.35
B=0.2929, Tau=14.426950408889635, nu=0.5627789932748739, avg_time=10.34
B=0.2979, Tau=14.426950408889635, nu=0.5365700889445569, avg_time=9.92
B=0.3029, Tau=12.984255368000671, nu=0.5894503352552549, avg_time=9.02
B=0.3079, Tau=12.984255368000671, nu=0.6523528457625932, avg_time=9.18
B=0.3129, Tau=12.984255368000671, nu=0.6423170258448657, avg_time=9.19
B=0.3179, Tau=12.984255368000671, nu=0.6778023546745313, avg_time=8.72
B=0.3229, Tau=11.541560327111707, nu=0.6706949334535637, avg_time=8.49
B=0.3279, Tau=11.541560327111707, nu=0.637214425034348, avg_time=8.11
B=0.333, Tau=11.541560327111707, nu=0.7799704994360881, avg_time=8.0
B=0.338, Tau=11.541560327111707, nu=0.7429458294251835, avg_time=7.75
B=0.343, Tau=10.098865286222745, nu=0.7350910299348615, avg_time=7.51
B=0.348, Tau=11.541560327111707, nu=0.761279807429263, avg_time=7.73
B=0.353, Tau=10.098865286222745, nu=0.7006101052369612, avg_time=7.32
B=0.358, Tau=10.098865286222745, nu=0.7237673527289147, avg_time=7.19
B=0.363, Tau=10.098865286222745, nu=0.8801771704488565, avg_time=6.91
